t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.0,0.0,10
4,0.2,0.42163702135578396,10
5,0.3,0.48304589153964794,10
6,0.4,0.5163977794943223,10
7,0.8,0.6324555320336759,10
8,1.3,0.9486832980505138,10
9,1.6,1.07496769977314,10
10,1.7,1.1595018087284057,10
11,1.9,1.286683937707919,10
12,2.0,1.1547005383792515,10
13,2.2,1.0327955589886446,10
14,2.5,1.2692955176439846,10
15,2.6,1.3498971154211057,10
16,2.7,1.4181364924121764,10
17,2.8,1.6865480854231356,10
18,3.2,1.6193277068654823,10
19,3.2,1.6865480854231356,10
20,3.2,1.8135294011647258,10
21,3.3,1.6363916944844767,10
22,3.5,1.8408935028645435,10
23,3.7,1.8885620632287057,10
24,3.9,2.2335820757001272,10
25,3.6,2.065591117977289,10
26,3.7,2.3118054512532935,10
27,3.9,2.183269719175042,10
28,4.1,2.2335820757001272,10
29,4.5,2.5055493963954847,10
30,4.7,2.7507574714370344,10
31,4.8,2.8596814119369625,10
32,5.1,2.884826203122507,10
33,5.2,2.780887148615228,10
34,5.5,3.100179206289712,10
35,5.5,3.2744804507314167,10
36,5.9,3.478505426185217,10
37,6.1,3.725288952252936,10
38,6.1,3.8427420765212266,10
39,6.3,3.917198545446024,10
40,6.7,3.973523485382827,10
41,6.7,4.083843505544474,10
42,7.0,4.055175020198813,10
43,7.0,3.8297084310253524,10
44,7.0,3.681787005729087,10
45,6.9,3.7549966711037173,10
46,7.1,3.842742076521226,10
47,7.3,3.9454615277134146,10
48,7.3,4.083843505544475,10
49,7.2,4.263540521418529,10
50,7.4,4.168666186896929,10
51,7.6,4.087922591134904,10
52,7.6,4.168666186896929,10
53,7.7,4.2176876234364356,10
54,7.9,4.280446497997869,10
55,8.1,4.17532433869913,10
56,7.9,4.254409477236529,10
57,8.3,4.191260749066642,10
58,8.6,4.115013163202924,10
59,8.6,3.977715704047013,10
60,8.6,3.977715704047013,10
61,8.7,4.056544780420347,10
62,8.7,3.973523485382827,10
63,8.8,4.022160834399561,10
64,9.1,4.1486276177925525,10
65,9.3,4.321779468896786,10
66,9.4,4.376706016578627,10
67,9.7,4.423422506008969,10
68,10.0,4.346134936801766,10
69,10.0,4.189935029992179,10
70,10.1,4.067486256208427,10
71,10.3,4.029061098237818,10
72,10.5,4.301162633521313,10
73,10.8,4.263540521418529,10
74,10.8,4.417138339593985,10
75,11.2,4.732863826479693,10
76,11.0,4.96655480858378,10
77,11.2,5.223876806442595,10
78,11.4,5.460972644339305,10
79,11.4,5.460972644339305,10
80,11.8,5.3499740393970345,10
81,12.0,5.291502622129181,10
82,12.2,5.202563470700446,10
83,12.2,5.28730134903956,10
84,12.4,5.399588461684423,10
85,12.5,5.54276304943863,10
86,12.8,5.28730134903956,10
87,13.0,5.354126134736337,10
88,13.1,5.2588549662027715,10
89,13.3,5.478239782184703,10
90,13.3,5.229191567005788,10
91,13.2,5.329165037789691,10
92,13.5,5.338539126015656,10
93,13.6,5.481281277625191,10
94,13.7,5.812821078348179,10
95,14.0,5.676462121975467,10
96,14.4,5.641118880348315,10
97,14.4,5.910442735813734,10
98,14.4,6.040603354706291,10
99,14.6,6.022181221672648,10
100,14.8,5.921711464320654,10
101,15.0,5.849976258261415,10
102,15.3,5.6184220797895446,10
103,15.3,5.478239782184704,10
104,15.3,5.518655230720213,10
105,15.4,5.601587076693335,10
106,15.6,5.211099265563414,10
107,15.7,5.207899981971833,10
108,15.6,5.253570214625479,10
109,15.8,5.370702416299422,10
110,16.0,5.185449728701348,10
111,16.0,5.0771820705759385,10
112,16.2,5.028805910838963,10
113,16.4,4.993328882953068,10
114,16.5,5.0387388192769915,10
115,16.7,4.900113377373131,10
116,16.9,4.90917508345343,10
117,16.9,5.065131346328104,10
118,16.8,4.984420171338332,10
119,17.0,5.14241620684717,10
120,16.9,5.279941077112298,10
121,17.2,5.00666222813829,10
122,17.6,5.059644256269407,10
123,17.8,5.28730134903956,10
124,18.1,5.486346689738081,10
125,18.0,5.41602560309064,10
