Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
1,2,1
1,2,1
2,3,1
2,3,1
2,3,1
3,4,1
4,5,1
4,5,1
4,5,1
5,5,0
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
6,7,1
7,8,1
7,7,0
7,8,1
7,8,1
7,8,1
8,9,1
8,9,1
8,9,1
8,9,1
9,10,1
9,10,1
9,10,1
9,10,1
9,9,0
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
9,9,0
9,10,1
9,10,1
9,10,1
9,9,0
8,9,1
9,10,1
9,10,1
9,10,1
10,11,1
10,11,1
11,11,0
10,11,1
10,11,1
10,11,1
10,11,1
10,11,1
10,11,1
11,12,1
11,12,1
11,12,1
11,12,1
11,12,1
12,13,1
13,14,1
13,14,1
14,15,1
15,16,1
15,16,1
15,16,1
15,16,1
15,16,1
15,16,1
16,17,1
16,17,1
16,17,1
16,17,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
18,19,1
19,20,1
19,20,1
19,20,1
19,20,1
19,20,1
19,20,1
20,21,1
21,22,1
21,22,1
21,22,1
22,23,1
22,22,0
21,22,1
21,22,1
21,21,0
21,22,1
21,22,1
21,22,1
21,22,1
22,23,1
22,23,1
22,23,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
24,25,1
24,25,1
24,24,0
24,25,1
24,25,1
24,25,1
24,25,1
25,26,1
25,26,1
25,26,1
25,26,1
26,27,1
26,27,1
26,27,1
27,28,1
27,28,1
28,29,1
28,29,1
29,29,0
29,29,0
28,29,1
28,29,1
28,30,2
28,30,2
29,31,2
30,32,2
30,32,2
31,33,2
31,33,2
31,33,2
31,33,2
31,33,2
32,33,1
32,34,2
32,34,2
33,35,2
33,35,2
33,35,2
33,35,2
33,35,2
34,36,2
34,35,1
33,34,1
33,33,0
32,33,1
32,32,0
32,33,1
33,33,0
33,33,0
32,33,1
32,33,1
32,33,1
32,33,1
32,33,1
32,33,1
32,33,1
32,33,1
32,32,0
31,32,1
31,32,1
31,32,1
31,32,1
32,33,1
32,33,1
32,33,1
33,34,1
34,35,1
34,35,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
36,37,1
36,37,1
37,37,0
36,37,1
36,37,1
36,37,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
38,38,0
37,38,1
38,39,1
38,39,1
38,39,1
39,40,1
40,41,1
40,41,1
40,41,1
41,42,1
41,42,1
41,42,1
41,42,1
41,42,1
41,42,1
42,43,1
42,43,1
42,43,1
42,43,1
43,44,1
43,44,1
43,43,0
43,44,1
43,44,1
43,44,1
43,44,1
43,44,1
43,44,1
43,44,1
43,44,1
44,44,0
43,44,1
44,45,1
45,46,1
46,46,0
45,46,1
45,45,0
44,45,1
44,45,1
45,46,1
45,46,1
45,46,1
45,46,1
46,47,1
46,47,1
46,47,1
46,47,1
46,47,1
46,47,1
47,48,1
47,48,1
48,49,1
48,49,1
49,50,1
49,50,1
49,50,1
49,50,1
49,50,1
49,50,1
49,50,1
49,50,1
49,50,1
49,50,1
49,50,1
49,50,1
49,50,1
50,51,1
50,51,1
50,51,1
50,50,0
50,51,1
50,51,1
50,51,1
50,51,1
50,51,1
50,51,1
50,51,1
50,51,1
50,51,1
50,52,2
50,51,1
50,50,0
50,51,1
51,52,1
52,53,1
52,53,1
53,54,1
53,54,1
53,54,1
53,54,1
53,54,1
53,54,1
54,55,1
54,55,1
54,55,1
54,54,0
53,53,0
53,54,1
53,54,1
53,54,1
53,54,1
53,53,0
52,53,1
52,53,1
53,54,1
54,55,1
55,56,1
55,56,1
55,56,1
55,57,2
56,58,2
56,58,2
56,57,1
56,57,1
56,57,1
56,57,1
56,56,0
55,55,0
55,56,1
56,56,0
55,56,1
56,57,1
56,57,1
56,57,1
57,57,0
57,58,1
58,58,0
57,58,1
57,58,1
58,59,1
58,59,1
58,59,1
59,60,1
59,60,1
59,59,0
58,59,1
58,59,1
58,59,1
58,59,1
58,59,1
59,59,0
58,59,1
58,58,0
57,58,1
58,59,1
58,59,1
59,60,1
60,60,0
59,60,1
59,60,1
60,60,0
59,60,1
59,60,1
60,61,1
61,62,1
61,62,1
62,63,1
62,62,0
62,63,1
62,63,1
62,63,1
62,63,1
62,63,1
63,64,1
63,64,1
63,64,1
64,65,1
64,65,1
64,65,1
64,65,1
65,66,1
66,66,0
65,66,1
65,66,1
65,66,1
65,66,1
65,66,1
65,66,1
66,67,1
67,68,1
67,68,1
67,68,1
68,69,1
68,69,1
68,68,0
67,68,1
68,69,1
69,70,1
69,69,0
68,69,1
68,69,1
68,68,0
67,68,1
67,68,1
67,68,1
67,68,1
67,68,1
67,68,1
67,68,1
68,69,1
69,70,1
69,70,1
69,70,1
69,70,1
69,70,1
69,70,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,72,2
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
71,72,1
71,72,1
71,72,1
71,72,1
72,73,1
73,74,1
73,74,1
73,74,1
73,74,1
73,74,1
73,74,1
73,74,1
73,74,1
73,74,1
73,75,2
74,76,2
75,77,2
75,77,2
75,77,2
76,78,2
76,78,2
76,78,2
76,78,2
76,78,2
76,78,2
77,79,2
77,79,2
77,78,1
77,79,2
77,78,1
77,78,1
77,77,0
76,77,1
77,78,1
77,78,1
77,78,1
78,79,1
78,79,1
79,80,1
79,80,1
79,80,1
79,80,1
80,81,1
80,81,1
80,81,1
80,81,1
80,81,1
80,81,1
80,81,1
80,81,1
80,81,1
80,81,1
81,82,1
81,82,1
81,82,1
81,82,1
82,83,1
83,84,1
83,84,1
83,84,1
83,84,1
83,84,1
83,84,1
83,84,1
84,85,1
84,85,1
85,86,1
85,86,1
85,86,1
85,86,1
85,86,1
85,86,1
85,86,1
86,87,1
86,87,1
86,87,1
86,86,0
85,86,1
85,86,1
85,86,1
