t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.4,0.6992058987801011,10
5,0.3,0.6749485577105528,10
6,0.3,0.6749485577105528,10
7,0.3,0.6749485577105528,10
8,0.5,0.97182531580755,10
9,0.6,0.9660917830792959,10
10,0.6,1.3498971154211057,10
11,0.7,1.3374935098492586,10
12,0.9,1.5951314818673865,10
13,1.0,1.699673171197595,10
14,1.0,1.699673171197595,10
15,1.2,1.8135294011647258,10
16,1.5,2.068278940998476,10
17,1.3,1.828782229912694,10
18,1.1,1.728840330651992,10
19,1.3,1.7029386365926402,10
20,1.3,1.888562063228706,10
21,1.7,2.0027758514399734,10
22,2.1,2.078995483935023,10
23,2.0,2.0,10
24,2.4,2.3190036174568114,10
25,2.5,2.4608038433722332,10
26,2.4,2.5473297566057065,10
27,2.7,2.3118054512532935,10
28,3.0,2.4037008503093262,10
29,3.0,2.260776661041756,10
30,2.7,2.2135943621178655,10
31,2.8,2.440400695696417,10
32,2.5,2.3213980461973533,10
33,2.4,2.3190036174568114,10
34,2.3,2.359378449224852,10
35,2.4,2.2211108331943574,10
36,2.5,2.173067468400883,10
37,2.6,2.0110804171997807,10
38,2.6,1.9550504398153572,10
39,2.4,2.1705094128132942,10
40,2.8,2.2997584414213788,10
41,3.0,2.3570226039551585,10
42,2.8,2.3475755815545347,10
43,2.7,2.4060109910158114,10
44,2.8,2.485513584307633,10
45,2.8,2.440400695696417,10
46,2.7,2.496664441476534,10
47,2.7,2.7507574714370344,10
48,2.2,2.573367875415838,10
49,2.4,2.6749870196985173,10
50,2.4,2.796823595120404,10
51,2.4,2.7568097504180447,10
52,2.6,2.6749870196985173,10
53,2.6,2.716206504995115,10
54,2.4,2.5473297566057065,10
55,2.5,2.5495097567963922,10
56,2.5,2.798809270624444,10
57,2.7,2.8303906287138374,10
58,2.8,2.780887148615228,10
59,2.7,2.7908580918579307,10
60,2.9,2.378141197564929,10
61,2.9,2.4698178070456938,10
62,2.7,2.5841396591085743,10
63,2.8,2.859681411936962,10
64,2.7,3.1287200080686173,10
65,2.6,3.3065591380365986,10
66,2.4,3.2041639575194445,10
67,2.4,3.3730961708462712,10
68,2.5,3.4399612400917157,10
69,2.6,2.9514591494904874,10
70,2.7,3.529242915351047,10
71,2.9,3.573047252229764,10
72,2.9,3.0349812373573433,10
73,3.1,3.0349812373573437,10
74,3.2,3.119829055146024,10
75,3.3,3.4976182372199127,10
76,3.1,3.6040101122068027,10
77,3.0,3.2998316455372216,10
78,2.9,2.960855732160327,10
79,3.0,3.197221015541813,10
80,3.0,3.4318767136623336,10
81,2.9,3.573047252229764,10
82,2.9,3.2812599206199238,10
83,3.0,3.5901098714230026,10
84,3.2,3.489667287547307,10
85,3.2,3.552776691859794,10
86,3.5,3.5978388574871505,10
87,3.7,3.802046232695699,10
88,3.4,3.6270588023294517,10
89,3.2,3.457680661303984,10
90,3.3,3.2676869155073254,10
91,3.3,3.3015148038438356,10
92,3.1,3.6953424138441564,10
93,3.2,3.155242550986462,10
94,3.0,2.9814239699997196,10
95,2.9,2.923088169119167,10
96,3.1,2.7264140062238043,10
97,3.2,3.0477678535099892,10
98,3.3,2.9458068127047605,10
99,3.5,2.9533408577782247,10
100,3.4,3.062315754094894,10
101,3.7,3.4009802508492557,10
102,3.6,3.3065591380365986,10
103,3.9,3.178049716414141,10
104,3.8,3.259175083088085,10
105,3.8,3.32665998663324,10
106,3.7,3.2676869155073254,10
107,3.6,2.836272984824353,10
108,3.6,2.913569784454954,10
109,3.5,2.8771127502720115,10
110,3.9,2.726414006223804,10
111,4.0,2.748737083745107,10
112,4.3,3.0568684048294332,10
113,4.3,3.334999583541537,10
114,4.5,3.3082388735465345,10
115,4.4,3.438345855527367,10
116,4.4,3.5023801430836525,10
117,4.7,3.497618237219913,10
118,4.7,3.3015148038438356,10
119,4.6,3.0983866769659336,10
120,4.8,3.32665998663324,10
121,4.9,3.2812599206199238,10
122,4.9,3.2812599206199238,10
123,5.2,3.3928028399998595,10
124,5.5,3.4721111093332766,10
125,5.6,3.5023801430836525,10
126,5.6,3.470510689285432,10
127,5.4,3.6575644598253874,10
128,5.6,3.4058772731852804,10
129,5.7,2.98328677803526,10
130,5.9,2.998147576235848,10
131,5.9,2.726414006223804,10
132,6.2,2.5298221281347035,10
133,6.5,2.3213980461973533,10
134,6.6,2.270584848790187,10
135,6.7,2.3118054512532935,10
136,6.9,2.4698178070456938,10
137,6.9,2.378141197564929,10
138,6.7,2.5407785333546005,10
139,6.8,2.6161889160464775,10
140,6.8,2.485513584307633,10
141,6.7,2.496664441476534,10
142,6.8,2.8205594401741574,10
143,6.7,2.8303906287138374,10
144,6.5,2.9533408577782247,10
145,6.0,2.8284271247461903,10
146,6.2,3.1198290551460244,10
147,6.7,3.2676869155073254,10
148,6.5,3.3747427885527643,10
149,6.4,3.565264521898917,10
150,6.3,3.8600518131237562,10
151,6.3,4.110960958218892,10
152,6.0,4.242640687119285,10
153,5.9,4.483302354291979,10
154,6.1,4.383048152953731,10
